"vina_results","Model","Path","ligand","receptor"
-0.47,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNK.pdb_ligand_vina_out_score.csv","X131900","6UNK"
-7.47,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNL.pdb_ligand_vina_out_score.csv","X131900","6UNL"
-6.55,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNL.pdb_ligand_vina_out_score.csv","X131900","6UNL"
-5.747,"Model_3","output/Docking_Vina/results_Vina_X131900_6UNL.pdb_ligand_vina_out_score.csv","X131900","6UNL"
-5.158,"Model_4","output/Docking_Vina/results_Vina_X131900_6UNL.pdb_ligand_vina_out_score.csv","X131900","6UNL"
-8.982,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-8.094,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-8.093,"Model_3","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.904,"Model_4","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.825,"Model_5","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.773,"Model_6","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.627,"Model_7","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.6,"Model_8","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-7.576,"Model_9","output/Docking_Vina/results_Vina_X131900_6UNM.pdb_ligand_vina_out_score.csv","X131900","6UNM"
-9.034,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-9.027,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.921,"Model_3","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.823,"Model_4","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.802,"Model_5","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.784,"Model_6","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.534,"Model_7","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.52,"Model_8","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-8.511,"Model_9","output/Docking_Vina/results_Vina_X131900_7KVH.pdb_ligand_vina_out_score.csv","X131900","7KVH"
-1.576,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVI.pdb_ligand_vina_out_score.csv","X131900","7KVI"
-6.348,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVJ.pdb_ligand_vina_out_score.csv","X131900","7KVJ"
-3.474,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVJ.pdb_ligand_vina_out_score.csv","X131900","7KVJ"
10.135,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVM.pdb_ligand_vina_out_score.csv","X131900","7KVM"
11.111,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVM.pdb_ligand_vina_out_score.csv","X131900","7KVM"
12.013,"Model_3","output/Docking_Vina/results_Vina_X131900_7KVM.pdb_ligand_vina_out_score.csv","X131900","7KVM"
-9.027,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.781,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.711,"Model_3","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.456,"Model_4","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
