"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030072","peptide hormone secretion","41/835","242/18888",0.169421487603306,3.83237491958232,9.53708426725899,1.06357236708355e-13,1.4901496728214e-12,5.84012696232456e-13,"7124/1956/3569/3458/3091/3553/5894/5781/3630/3717/4843/1906/1080/1392/3172/2147/9971/6720/7351/55107/6566/11315/2641/2852/5579/2645/240/51548/6514/952/5581/3651/5950/23410/1374/2243/2182/1131/7036/90550/18",41
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","47/835","309/18888",0.15210355987055,3.44063717225743,9.30296379326388,1.06420400167823e-13,1.4901496728214e-12,5.84012696232456e-13,"3458/406991/596/4318/581/5294/857/3627/1906/4067/2539/2147/3690/2185/6622/1909/2852/5777/5581/2149/2903/2859/2904/1815/2902/776/775/801/3783/6331/487/7402/1812/2906/2946/6330/5319/783/623/785/23171/6324/4986/6546/5025/784/782",47
"BP","GO:0050870","positive regulation of T cell activation","42/835","253/18888",0.16600790513834,3.75515845778798,9.48838242483037,1.0879743988355e-13,1.51966325065067e-12,5.95579523698118e-13,"5290/207/3569/3458/406991/29126/2475/3553/6714/5781/3558/3565/50943/3552/3717/6347/5914/959/5788/857/7412/4067/3956/1803/3146/6850/7037/6777/100/942/114548/55193/51176/7494/3329/3932/5777/5590/7704/7525/1378/6541",42
"BP","GO:0043254","regulation of protein-containing complex assembly","56/835","418/18888",0.133971291866029,3.03047875540784,9.02824175380785,1.13701203592693e-13,1.5842367700582e-12,6.2088688433593e-13,"7157/7124/5925/4233/3458/7040/2475/7422/6714/5894/5781/581/2932/3320/7099/2670/1437/695/1440/348/7376/5599/5580/4312/5879/3309/4314/3146/6850/7037/948/3567/10018/329/1191/19/2185/6622/10013/6403/11315/100506658/5590/5581/3375/4204/9353/2934/4133/22933/5341/3297/246/2580/79184/57787",56
"BP","GO:0007162","negative regulation of cell adhesion","47/835","310/18888",0.151612903225806,3.4295383426695,9.27588086019746,1.20263866572164e-13,1.67154925878503e-12,6.55105998620992e-13,"5728/207/1029/999/2064/406991/29126/7040/3586/7422/6714/5781/2065/3558/4313/836/5295/50943/3717/5747/5788/1277/9370/5580/5054/3659/7057/3146/3718/942/5465/650/1545/335/5340/3827/5320/5777/1051/5771/135/239/4321/383/1378/1845/7805",47
"BP","GO:0071548","response to dexamethasone","18/835","44/18888",0.409090909090909,9.2537833424061,11.7880750445893,1.20932864996139e-13,1.67260822836571e-12,6.55521025172569e-13,"5290/1956/3480/3717/8313/5111/1906/842/6198/1636/1392/9076/1545/10013/7351/1977/2235/6715",18
"BP","GO:1990776","response to angiotensin","18/835","44/18888",0.409090909090909,9.2537833424061,11.7880750445893,1.20932864996139e-13,1.67260822836571e-12,6.55521025172569e-13,"6714/4790/3480/5743/5970/4780/857/4088/5580/5578/1636/1312/183/185/3297/760/186/815",18
"BP","GO:1900047","negative regulation of hemostasis","19/835","50/18888",0.38,8.59573652694611,11.5661157609422,1.25180130963483e-13,1.7271185306282e-12,6.76884455422152e-13,"348/5580/5054/1906/7057/5328/5327/7056/2147/4846/7448/5340/3827/3848/239/710/2243/2161/3818",19
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","26/835","100/18888",0.26,5.88129341317365,10.5255469993845,1.28719803654295e-13,1.77162402931997e-12,6.94326848466427e-13,"7124/207/672/7015/596/3553/367/6714/5894/3082/3383/5970/3552/598/2932/1437/5054/4170/7057/6198/2950/4846/3685/3162/11315/2243",26
"BP","GO:0043536","positive regulation of blood vessel endothelial cell migration","23/835","77/18888",0.298701298701299,6.75673069445525,10.8859258282091,1.313785953289e-13,1.8038185241873e-12,7.06944368769415e-13,"207/2260/7040/3091/7422/3791/5743/2247/4780/5578/7057/9734/23411/6667/3146/406921/3315/4846/3162/6776/5340/51564/5025",23
