"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2454_g__Sarcina",0.75,0.0161050788240265,0.00202953910354645,"DRF",0.0161050788240265
"OTU2541_g__Faecalibacterium",0.748538017272949,0.0160736850279485,0.0020255829020621,"DRF",0.0160736850279485
"OTU2600_g__Roseburia",0.666666686534882,0.0143156260479958,0.00180403481247238,"DRF",0.0143156260479958
"OTU2445_g__Geosporobacter",0.666666686534882,0.0143156260479958,0.00180403481247238,"DRF",0.0143156260479958
"OTU284_g__Oleidesulfovibrio",0.666666686534882,0.0143156260479958,0.00180403481247238,"DRF",0.0143156260479958
"OTU1844_g__Rothia",0.666666686534882,0.0143156260479958,0.00180403481247238,"DRF",0.0143156260479958
"OTU1942_g__Catenibacterium",0.595238089561462,0.0127818084686004,0.00161074530491369,"DRF",0.0127818084686004
"OTU1615_g__Phoenicibacter",0.533333361148834,0.0114525010943799,0.00144322788223656,"DRF",0.0114525010943799
"OTU2588_g__Lachnospira",0.5,0.0107367192160177,0.00135302606903096,"DRF",0.0107367192160177
"OTU1964_g__Faecalibacillus",0.5,0.0107367192160177,0.00135302606903096,"DRF",0.0107367192160177
"OTU2555_g__Marvinbryantia",0.5,0.0107367192160177,0.00135302606903096,"DRF",0.0107367192160177
"OTU2436_g__Romboutsia",0.5,0.0107367192160177,0.00135302606903096,"DRF",0.0107367192160177
"OTU2529_g__Ruminococcus",0.4375,0.00939462931401545,0.00118389781040209,"DRF",0.00939462931401545
"OTU2422_g__Alkalibacter",0.4375,0.00939462931401545,0.00118389781040209,"DRF",0.00939462931401545
"OTU2551_g__Pseudobutyrivibrio",0.397515535354614,0.00853602537421487,0.00107569776435919,"DRF",0.00853602537421487
"OTU2677_g__Flintibacter",0.266666680574417,0.00572625054718997,0.000721613941118279,"DRF",0.00572625054718997
"OTU2524_g__Vescimonas",0.194444447755814,0.00417539087733557,0.000526176813583891,"DRF",0.00417539087733557
"OTU2544_g__Herbinix",0.1875,0.00402626970600662,0.000507384775886612,"DRF",0.00402626970600662
"OTU2597_g__Blautia",0,0,0,"DRF",0
"OTU2587_g__Anaerostipes",0,0,0,"DRF",0
"OTU2584_g__Mediterraneibacter",0,0,0,"DRF",0
"OTU2575_g__Anaerobutyricum",0,0,0,"DRF",0
"OTU2523_g__Subdoligranulum",0,0,0,"DRF",0
"OTU2579_g__Coprococcus",0,0,0,"DRF",0
"OTU1628_g__Collinsella",0,0,0,"DRF",0
"OTU1298_g__Escherichia",0,0,0,"DRF",0
"OTU2679_g__Intestinimonas",0,0,0,"DRF",0
"OTU2427_g__Eubacterium",0,0,0,"DRF",0
"OTU2566_g__Simiaoa",0,0,0,"DRF",0
"OTU1962_g__Allobaculum",0,0,0,"DRF",0
"OTU740_g__Turicimonas",0,0,0,"DRF",0
"OTU2571_g__Butyrivibrio",0,0,0,"DRF",0
"OTU1484_g__Paraprevotella",0,0,0,"DRF",0
"OTU2341_g__Megasphaera",0,0,0,"DRF",0
"OTU1945_g__Thomasclavelia",0,0,0,"DRF",0
"OTU2564_g__Wujia",0,0,0,"DRF",0
