"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2474_s__Clostridium_thermarum",1.640909075737,0.0906240848674203,0.00539219990841264,"DRF",0.0906240848674203
"OTU2370_s__Thermanaeromonas_toyohensis",1.57636368274689,0.0870593735384213,0.0051800969544367,"DRF",0.0870593735384213
"OTU2333_s__Acidaminococcus_intestini",1.55555558204651,0.0859101842800501,0.00511171934573804,"DRF",0.0859101842800501
"OTU2513_s__Acetivibrio_saccincola",1.49482405185699,0.08255610486919,0.00491214914628712,"DRF",0.08255610486919
"OTU1471_s__Alistipes_communis",1.42222225666046,0.078546454763219,0.00467357200682343,"DRF",0.078546454763219
"OTU2583_s__[Ruminococcus]_gnavus",1.40833330154419,0.0777793959018915,0.0046279314386693,"DRF",0.0777793959018915
"OTU2540_s__Faecalibacterium_sp._IP-3-29",1.33333337306976,0.0736373017519983,0.00438147378088036,"DRF",0.0736373017519983
"OTU1922_s__Bifidobacterium_dentium",1.25,0.069034968335096,0.00410763154715838,"DRF",0.069034968335096
"OTU1477_s__Parabacteroides_faecis",0.95652174949646,0.052826758950655,0.00314323113101983,"DRF",0.052826758950655
"OTU205_s__Candidatus_Saccharimonas_aalborgensis",0.949999988079071,0.0524665752763042,0.00312179993666694,"DRF",0.0524665752763042
"OTU1479_s__Parabacteroides_johnsonii",0.947368443012238,0.0523212403720152,0.0031131524026395,"DRF",0.0523212403720152
"OTU1506_s__Prevotella_sp._Rep29",0.944444417953491,0.052159752390142,0.00310354374857871,"DRF",0.052159752390142
"OTU1921_s__Bifidobacterium_pseudocatenulatum",0.944444417953491,0.052159752390142,0.00310354374857871,"DRF",0.052159752390142
"OTU956_s__Vibrio_furnissii",0.933333337306976,0.0515461099096613,0.0030670315682694,"DRF",0.0515461099096613
"OTU1532_s__Bacteroides_helcogenes",0.916666686534882,0.0506256445430183,0.00301226319987186,"DRF",0.0506256445430183
"OTU2546_s__Faecalicatena_sp._Marseille-Q4148",0.916666686534882,0.0506256445430183,0.00301226319987186,"DRF",0.0506256445430183
"OTU2560_s__[Clostridium]_hylemonae",0.909090936183929,0.0502072511945443,0.00298736848696388,"DRF",0.0502072511945443
"OTU2437_s__Clostridioides_difficile",0.899999976158142,0.0497051758845316,0.00295749463560718,"DRF",0.0497051758845316
"OTU2454_s__Sarcina_sp._JB2",0.899999976158142,0.0497051758845316,0.00295749463560718,"DRF",0.0497051758845316
"OTU1496_s__Prevotella_oris",0.899999976158142,0.0497051758845316,0.00295749463560718,"DRF",0.0497051758845316
"OTU1304_s__Frederiksenia_canicola",0.899999976158142,0.0497051758845316,0.00295749463560718,"DRF",0.0497051758845316
"OTU1944_s__Thomasclavelia_ramosa",0.888888895511627,0.0490915334040509,0.00292098245529786,"DRF",0.0490915334040509
"OTU1293_s__Enterobacter_hormaechei",0.875,0.0483244778345672,0.00287534208301086,"DRF",0.0483244778345672
"OTU2382_s__Desulfoscipio_gibsoniae",0.875,0.0483244778345672,0.00287534208301086,"DRF",0.0483244778345672
"OTU1592_s__Thermoleophilum_album",0.859523832798004,0.0474697604643765,0.00282448576890845,"DRF",0.0474697604643765
"OTU2571_s__Butyrivibrio_crossotus",0.857142865657806,0.0473382644714721,0.00281666166031819,"DRF",0.0473382644714721
"OTU2561_s__Anaerotignum_propionicum",0.857142865657806,0.0473382644714721,0.00281666166031819,"DRF",0.0473382644714721
"OTU2515_s__Acutalibacter_muris",0.857142865657806,0.0473382644714721,0.00281666166031819,"DRF",0.0473382644714721
"OTU2577_s__Dorea_longicatena",0.800000011920929,0.0441823803928302,0.00262888422935479,"DRF",0.0441823803928302
"OTU2349_s__Veillonella_rogosae",0.800000011920929,0.0441823803928302,0.00262888422935479,"DRF",0.0441823803928302
"OTU66_s__Gemmatirosa_kalamazoonensis",0.800000011920929,0.0441823803928302,0.00262888422935479,"DRF",0.0441823803928302
"OTU2541_s__Faecalibacterium_prausnitzii",0.75,0.0414209810010576,0.00246457892829503,"DRF",0.0414209810010576
"OTU2332_s__Megamonas_funiformis",0.75,0.0414209810010576,0.00246457892829503,"DRF",0.0414209810010576
"OTU2521_s__Dysosmobacter_welbionis",0.75,0.0414209810010576,0.00246457892829503,"DRF",0.0414209810010576
